"Date","Result","Against","Stadium","Competition","Season"
"14.02.2013","0 - 2","Zenit Saint Petersburg","Petrovsky Stadium","Europa League Round of 32","2012"
"17.02.2013","5 - 0","Swansea City","Anfield","Premier League","2012"
"21.02.2013","3 - 1","Zenit Saint Petersburg","Anfield","Europa League Round of 32","2012"
"02.03.2013","4 - 0","Wigan Athletic","DW Stadium","Premier League","2012"
"10.03.2013","3 - 2","Tottenham Hotspur","Anfield","Premier League","2012"
"16.03.2013","1 - 3","Southampton","St Mary's","Premier League","2012"
"31.03.2013","2 - 1","Aston Villa","Villa Park","Premier League","2012"
"07.04.2013","0 - 0","West Ham United","Anfield","Premier League","2012"
"13.04.2013","0 - 0","Reading","Madejski Stadium","Premier League","2012"
"21.04.2013","2 - 2","Chelsea","Anfield","Premier League","2012"
"27.04.2013","6 - 0","Newcastle United","St James' Park","Premier League","2012"
"05.05.2013","0 - 0","Everton","Anfield","Premier League","2012"
"12.05.2013","3 - 1","Fulham","Craven Cottage","Premier League","2012"
"19.05.2013","1 - 0","Queens Park Rangers","Anfield","Premier League","2012"
"17.08.2013","1 - 0","Stoke City","Anfield","Premier League","2013"
"24.08.2013","1 - 0","Aston Villa","Villa Park","Premier League","2013"
"27.08.2013","4 - 2","Notts County","Anfield","League Cup 2nd round","2013"
"01.09.2013","1 - 0","Manchester United","Anfield","Premier League","2013"
"16.09.2013","2 - 2","Swansea City","Liberty Stadium","Premier League","2013"
"21.09.2013","0 - 1","Southampton","Anfield","Premier League","2013"
"25.09.2013","0 - 1","Manchester United","Old Trafford","League Cup 3rd round","2013"
"29.09.2013","3 - 1","Sunderland","Stadium of Light","Premier League","2013"
"05.10.2013","3 - 1","Crystal Palace","Anfield","Premier League","2013"
"19.10.2013","2 - 2","Newcastle United","St James' Park","Premier League","2013"
"26.10.2013","4 - 1","West Bromwich Albion","Anfield","Premier League","2013"
"02.11.2013","0 - 2","Arsenal","Emirates Stadium","Premier League","2013"
"09.11.2013","4 - 0","Fulham","Anfield","Premier League","2013"
